K,seed,noise,tick,size,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err
12,20,0.04,1000,24,0.186636,0.900539,0.729915,0.350642,0.413391,0.852293,0.190297,0.658333,0.947306,0.022958
3,1,0.08,1000,24,0.198117,0.909038,0.712701,0.339277,0.309009,0.824409,0.205095,0.655625,0.691026,0.068265
3,2,0.08,1000,24,0.196825,0.941146,0.703094,0.329032,0.308692,0.786052,0.175024,0.659745,0.687658,0.067268
3,3,0.08,1000,24,0.186677,0.898994,0.701949,0.342957,0.316357,0.743808,0.20044,0.659062,0.700584,0.068762
3,4,0.08,1000,24,0.187342,0.918493,0.708259,0.336771,0.31366,0.855517,0.186643,0.65754,0.700524,0.068285
3,5,0.08,1000,24,0.174899,0.929477,0.721697,0.348955,0.312932,0.776071,0.166009,0.657695,0.705109,0.066499
3,6,0.08,1000,24,0.181897,0.894237,0.694049,0.333549,0.304345,0.798722,0.196508,0.660254,0.711746,0.067544
3,7,0.08,1000,24,0.201322,0.885053,0.706433,0.336091,0.3209,0.811993,0.184544,0.656929,0.690218,0.068792
3,8,0.08,1000,24,0.190718,0.951034,0.708816,0.340869,0.31158,0.744843,0.191338,0.657752,0.708957,0.068688
3,9,0.08,1000,24,0.186535,0.933093,0.69934,0.353194,0.309894,0.771275,0.173946,0.660542,0.69636,0.067555
3,10,0.08,1000,24,0.184764,0.875211,0.677093,0.34303,0.311273,0.83977,0.178769,0.658894,0.698317,0.068768
3,11,0.08,1000,24,0.182992,0.908662,0.701236,0.342044,0.311805,0.852506,0.199277,0.657386,0.701875,0.068612
3,12,0.08,1000,24,0.202296,0.937942,0.693774,0.338917,0.323342,0.786247,0.196091,0.657882,0.695729,0.068652
3,13,0.08,1000,24,0.192512,0.895783,0.689702,0.338317,0.314474,0.842236,0.171784,0.656296,0.704909,0.066225
3,14,0.08,1000,24,0.208804,0.880117,0.733038,0.334934,0.317761,0.839237,0.199357,0.658174,0.712867,0.067139
