topology,seed,noise,gamma,tick,size,lr2,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,mean_self_pred_err
moore,17,0.12,0.01,1000,24,0.003,0.196721,0.940662,0.720336,0.337352,0.285887,0.708595,0.115832,0.663606,0.706146,0.063067,0.028142
moore,18,0.12,0.01,1000,24,0.003,0.20912,0.941367,0.735123,0.3471,0.267296,0.745892,0.112464,0.660129,0.726027,0.059056,0.028089
moore,19,0.12,0.01,1000,24,0.003,0.185849,0.935442,0.711061,0.344065,0.263505,0.713423,0.107744,0.660563,0.725024,0.061895,0.028237
moore,20,0.12,0.01,1000,24,0.003,0.24322,0.938328,0.710687,0.325285,0.293637,0.689724,0.139642,0.660859,0.691943,0.061327,0.028511
moore,1,0.2,0.01,1000,24,0.003,0.199047,0.900331,0.701847,0.334355,0.245933,0.701356,0.10761,0.663247,0.63756,0.096301,0.042395
moore,2,0.2,0.01,1000,24,0.003,0.188182,0.875687,0.681364,0.341788,0.264759,0.688989,0.091105,0.662353,0.615616,0.097182,0.041787
moore,3,0.2,0.01,1000,24,0.003,0.194443,0.883761,0.70754,0.33242,0.255311,0.74655,0.102133,0.661453,0.638012,0.096044,0.041902
moore,4,0.2,0.01,1000,24,0.003,0.210086,0.949139,0.705768,0.318077,0.258246,0.673534,0.119404,0.662052,0.624381,0.097838,0.042107
moore,5,0.2,0.01,1000,24,0.003,0.209423,0.870517,0.706592,0.340986,0.252707,0.799385,0.098096,0.660129,0.635727,0.099985,0.042505
moore,6,0.2,0.01,1000,24,0.003,0.211178,0.896802,0.731784,0.340723,0.257091,0.771879,0.096802,0.661028,0.605914,0.098396,0.042086
moore,7,0.2,0.01,1000,24,0.003,0.204261,0.910899,0.709801,0.333847,0.252901,0.730839,0.125791,0.662721,0.622822,0.096279,0.041455
moore,8,0.2,0.01,1000,24,0.003,0.197693,0.915559,0.704363,0.32815,0.249695,0.769804,0.094296,0.66363,0.638686,0.095998,0.042128
moore,9,0.2,0.01,1000,24,0.003,0.212709,0.91006,0.740318,0.340146,0.248915,0.803908,0.128153,0.662277,0.62585,0.097764,0.042226
moore,10,0.2,0.01,1000,24,0.003,0.218254,0.895311,0.71045,0.326632,0.256436,0.779833,0.113947,0.661406,0.621713,0.097283,0.040636
